name	D13_N2S2_O3S2	-err	+err	KD02comb	-err	+err	PP04_O3N2	-err	+err	M08_N2Ha	-err	+err	E(B-V)	-err	+err	M13_O3N2	-err	+err
10qqd	-	-	-	8.818	0.169	0.195	-	-	-	8.779	0.031	0.027	1.469	0.146	0.168	-	-	-
10tqi	8.758	0.01	0.01	8.827	0.007	0.008	8.569	0.003	0.003	8.806	0.007	0.007	0.14	0.01	0.01	8.426	0.006	0.006
10wal	8.772	0.044	0.04	8.884	0.031	0.032	8.656	0.015	0.016	8.849	0.027	0.029	0.12	0.044	0.043	8.484	0.014	0.014
10xik	8.282	0.154	0.117	8.479	0.359	0.079	8.288	0.034	0.027	8.458	0.082	0.065	0.0	0.0	0.0	8.238	0.023	0.018
10yow	-	-	-	9.181	0.061	0.078	-	-	-	8.909	0.017	0.018	0.631	0.087	0.097	-	-	-
10ysd	9.209	0.013	0.014	9.136	0.033	0.039	8.875	0.021	0.024	9.378	0.012	0.01	0.222	0.027	0.027	8.63	0.021	0.024
10zcn	9.115	0.028	0.031	8.986	0.077	0.104	8.851	0.03	0.038	8.95	0.019	0.019	0.411	0.042	0.048	8.614	0.027	0.031
11bov	8.204	0.031	0.029	8.402	0.14	0.033	8.286	0.008	0.008	8.511	0.016	0.016	0.0	0.0	0.0	8.236	0.007	0.007
11hyg	9.185	0.018	0.017	9.046	0.039	0.047	8.82	0.018	0.02	9.066	0.016	0.017	0.693	0.04	0.042	8.594	0.019	0.021
11ixk	8.926	0.043	0.041	8.922	0.087	0.111	8.679	0.027	0.031	9.013	0.038	0.042	0.03	0.03	0.115	8.498	0.02	0.024
11jgj	9.094	0.03	0.036	8.835	0.095	0.102	8.792	0.039	0.051	8.966	0.016	0.015	0.717	0.086	0.088	8.574	0.03	0.037
11klg	9.126	0.015	0.015	9.087	0.013	0.013	8.856	0.015	0.014	9.066	0.015	0.017	0.235	0.024	0.022	8.617	0.019	0.02
11rka	7.726	0.175	0.117	7.977	0.012	0.011	8.018	0.026	0.022	7.856	0.084	0.069	0.09	0.013	0.013	-	-	-
12cjy	9.145	0.024	0.03	9.055	0.017	0.017	8.919	0.035	0.05	8.984	0.011	0.011	0.124	0.031	0.033	8.661	0.031	0.037
12dcp	8.807	0.006	0.006	8.669	0.015	0.015	8.497	0.004	0.004	8.782	0.004	0.004	0.3	0.02	0.021	8.377	0.004	0.004
12dtf	8.481	0.026	0.024	8.384	0.063	0.057	8.281	0.008	0.007	8.501	0.016	0.014	0.485	0.025	0.028	8.233	0.007	0.007
12fgw	9.031	0.003	0.003	8.861	0.009	0.009	8.688	0.004	0.004	8.903	0.002	0.003	0.604	0.012	0.012	8.505	0.01	0.011
12hvv	8.735	0.053	0.054	8.759	0.131	0.148	8.627	0.032	0.035	8.87	0.04	0.039	0.017	0.017	0.122	8.464	0.023	0.024
12jxd	8.985	0.005	0.004	8.912	0.007	0.006	8.701	0.002	0.002	8.971	0.004	0.004	0.495	0.009	0.009	8.514	0.011	0.011
12ktu	9.201	0.016	0.017	9.099	0.052	0.067	8.874	0.019	0.022	8.974	0.01	0.011	0.354	0.026	0.027	8.63	0.022	0.023
